pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	3705	ITPK1
9101	Carbohydrate_metabolism	3706	ITPKA
9101	Carbohydrate_metabolism	3707	ITPKB
9101	Carbohydrate_metabolism	4329	ALDH6A1
9101	Carbohydrate_metabolism	4534	MTM1
9101	Carbohydrate_metabolism	4952	OCRL
9101	Carbohydrate_metabolism	51196	PLCE1
9101	Carbohydrate_metabolism	51477	ISYNA1
9101	Carbohydrate_metabolism	51763	INPP5K
9101	Carbohydrate_metabolism	5286	PIK3C2A
9101	Carbohydrate_metabolism	5287	PIK3C2B
9101	Carbohydrate_metabolism	5288	PIK3C2G
9101	Carbohydrate_metabolism	5289	PIK3C3
9101	Carbohydrate_metabolism	5290	PIK3CA
9101	Carbohydrate_metabolism	5291	PIK3CB
9101	Carbohydrate_metabolism	5293	PIK3CD
9101	Carbohydrate_metabolism	5294	PIK3CG
9101	Carbohydrate_metabolism	5297	PI4KA
9101	Carbohydrate_metabolism	5298	PI4KB
9101	Carbohydrate_metabolism	5305	PIP4K2A
9101	Carbohydrate_metabolism	5330	PLCB2
9101	Carbohydrate_metabolism	5331	PLCB3
9101	Carbohydrate_metabolism	5332	PLCB4
9101	Carbohydrate_metabolism	5333	PLCD1
9101	Carbohydrate_metabolism	5335	PLCG1
9101	Carbohydrate_metabolism	5336	PLCG2
9101	Carbohydrate_metabolism	55300	PI4K2B
9101	Carbohydrate_metabolism	55361	PI4K2A
9101	Carbohydrate_metabolism	55586	MIOX
9101	Carbohydrate_metabolism	55613	MTMR8
9101	Carbohydrate_metabolism	56623	INPP5E
9101	Carbohydrate_metabolism	5728	PTEN
9101	Carbohydrate_metabolism	64419	MTMR14
9101	Carbohydrate_metabolism	64768	IPPK
9101	Carbohydrate_metabolism	7167	TPI1
9101	Carbohydrate_metabolism	79837	PIP4K2C
9101	Carbohydrate_metabolism	80271	ITPKC
9101	Carbohydrate_metabolism	8394	PIP5K1A
9101	Carbohydrate_metabolism	8395	PIP5K1B
9101	Carbohydrate_metabolism	8396	PIP4K2B
9101	Carbohydrate_metabolism	84812	PLCD4
9101	Carbohydrate_metabolism	8776	MTMR1
9101	Carbohydrate_metabolism	8821	INPP4B
9101	Carbohydrate_metabolism	8867	SYNJ1
9101	Carbohydrate_metabolism	8871	SYNJ2
9101	Carbohydrate_metabolism	8897	MTMR3
9101	Carbohydrate_metabolism	8898	MTMR2
9101	Carbohydrate_metabolism	89869	PLCZ1
9101	Carbohydrate_metabolism	9107	MTMR6
9101	Carbohydrate_metabolism	9108	MTMR7
9101	Carbohydrate_metabolism	9110	MTMR4
9101	Carbohydrate_metabolism	9562	MINPP1
9101	Carbohydrate_metabolism	9651	PLCH2
9101	Carbohydrate_metabolism	9896	FIG4
9101	Carbohydrate_metabolism	10327	AKR1A1
9101	Carbohydrate_metabolism	10873	ME3
9101	Carbohydrate_metabolism	124	ADH1A
9101	Carbohydrate_metabolism	125	ADH1B
9101	Carbohydrate_metabolism	126	ADH1C
9101	Carbohydrate_metabolism	127	ADH4
9101	Carbohydrate_metabolism	128	ADH5
9101	Carbohydrate_metabolism	130	ADH6
9101	Carbohydrate_metabolism	131	ADH7
9101	Carbohydrate_metabolism	134526	ACOT12
9101	Carbohydrate_metabolism	160287	LDHAL6A
9101	Carbohydrate_metabolism	1737	DLAT
9101	Carbohydrate_metabolism	1738	DLD
9101	Carbohydrate_metabolism	197257	LDHD
9101	Carbohydrate_metabolism	217	ALDH2
9101	Carbohydrate_metabolism	219	ALDH1B1
9101	Carbohydrate_metabolism	223	ALDH9A1
9101	Carbohydrate_metabolism	224	ALDH3A2
9101	Carbohydrate_metabolism	2271	FH
9101	Carbohydrate_metabolism	2739	GLO1
9101	Carbohydrate_metabolism	3029	HAGH
9101	Carbohydrate_metabolism	31	ACACA
9101	Carbohydrate_metabolism	32	ACACB
9101	Carbohydrate_metabolism	38	ACAT1
9101	Carbohydrate_metabolism	3939	LDHA
9101	Carbohydrate_metabolism	3945	LDHB
9101	Carbohydrate_metabolism	3948	LDHC
9101	Carbohydrate_metabolism	39	ACAT2
9101	Carbohydrate_metabolism	4190	MDH1
9101	Carbohydrate_metabolism	4191	MDH2
9101	Carbohydrate_metabolism	4199	ME1
9101	Carbohydrate_metabolism	4200	ME2
9101	Carbohydrate_metabolism	501	ALDH7A1
9101	Carbohydrate_metabolism	5091	PC
9101	Carbohydrate_metabolism	5105	PCK1
9101	Carbohydrate_metabolism	5106	PCK2
9101	Carbohydrate_metabolism	5160	PDHA1
9101	Carbohydrate_metabolism	5161	PDHA2
9101	Carbohydrate_metabolism	5162	PDHB
9101	Carbohydrate_metabolism	5313	PKLR
9101	Carbohydrate_metabolism	5315	PKM
9101	Carbohydrate_metabolism	55902	ACSS2
9101	Carbohydrate_metabolism	8050	PDHX
9101	Carbohydrate_metabolism	84532	ACSS1
9101	Carbohydrate_metabolism	92483	LDHAL6B
9101	Carbohydrate_metabolism	9380	GRHPR
9101	Carbohydrate_metabolism	97	ACYP1
9101	Carbohydrate_metabolism	98	ACYP2
9101	Carbohydrate_metabolism	112817	HOGA1
9101	Carbohydrate_metabolism	125061	AFMID
9101	Carbohydrate_metabolism	132158	GLYCTK
9101	Carbohydrate_metabolism	1431	CS
9101	Carbohydrate_metabolism	1738	DLD
9101	Carbohydrate_metabolism	189	AGXT
9101	Carbohydrate_metabolism	2653	GCSH
9101	Carbohydrate_metabolism	2731	GLDC
9101	Carbohydrate_metabolism	2752	GLUL
9101	Carbohydrate_metabolism	275	AMT
9101	Carbohydrate_metabolism	283871	PGP
9101	Carbohydrate_metabolism	38	ACAT1
9101	Carbohydrate_metabolism	39	ACAT2
9101	Carbohydrate_metabolism	4190	MDH1
9101	Carbohydrate_metabolism	4191	MDH2
9101	Carbohydrate_metabolism	4594	MMUT
9101	Carbohydrate_metabolism	48	ACO1
9101	Carbohydrate_metabolism	5095	PCCA
9101	Carbohydrate_metabolism	5096	PCCB
